[2026-04-26T20:12:44.840Z] GET http://localhost:8765/index.html → 200 (11ms, 19253B)
[2026-04-26T20:12:44.854Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,400;1,9..144,300;1,9..144,400&family=Plus+Jakarta+Sans:wght@300;400;500;600&family=Syne:wght@600;700&display=swap → 200 (196ms, 14494B)
[2026-04-26T20:12:44.854Z] GET http://localhost:8765/css/styles.css → 200 (4ms, 17824B)
[2026-04-26T20:12:44.854Z] GET http://localhost:8765/assets/images/christina.png → 200 (3ms, 173240B)
[2026-04-26T20:12:44.854Z] GET http://localhost:8765/js/main.js → 200 (4ms, 3030B)
[2026-04-26T20:12:45.080Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9G78HEY.woff2 → 200 (190ms, 34560B)
[2026-04-26T20:12:45.080Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (158ms, 27272B)
[2026-04-26T20:12:45.080Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (194ms, 67388B)
[2026-04-26T20:12:45.080Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (209ms, 81704B)
[2026-04-26T20:26:02.752Z] GET http://localhost:8765/index.html → 200 (4ms, 19379B)
[2026-04-26T20:26:02.762Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,400;1,9..144,300;1,9..144,400&family=Plus+Jakarta+Sans:wght@300;400;500;600&family=Syne:wght@600;700&display=swap → 200 (1ms, 14494B)
[2026-04-26T20:26:02.763Z] GET http://localhost:8765/css/styles.css → 200 (1ms, 18986B)
[2026-04-26T20:26:02.763Z] GET http://localhost:8765/assets/images/christina.png → 304 (1ms, ?B)
[2026-04-26T20:26:02.763Z] GET http://localhost:8765/js/main.js → 304 (1ms, ?B)
[2026-04-26T20:26:02.765Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (?ms, ?B)
[2026-04-26T20:26:02.765Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, ?B)
[2026-04-26T20:26:02.766Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-04-26T20:26:02.766Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9G78HEY.woff2 → 200 (?ms, ?B)
[2026-04-26T20:26:03.455Z] GET http://localhost:8765/index.html → 200 (2ms, 19379B)
[2026-04-26T20:26:03.459Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,400;1,9..144,300;1,9..144,400&family=Plus+Jakarta+Sans:wght@300;400;500;600&family=Syne:wght@600;700&display=swap → 200 (1ms, 14494B)
[2026-04-26T20:26:03.460Z] GET http://localhost:8765/css/styles.css → 200 (?ms, 18986B)
[2026-04-26T20:26:03.460Z] GET http://localhost:8765/assets/images/christina.png → 200 (?ms, 173240B)
[2026-04-26T20:26:03.461Z] GET http://localhost:8765/js/main.js → 200 (?ms, 3030B)
[2026-04-26T20:26:03.462Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (?ms, ?B)
[2026-04-26T20:26:03.462Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, ?B)
[2026-04-26T20:26:03.462Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-04-26T20:26:03.463Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9G78HEY.woff2 → 200 (?ms, ?B)
